"Month","Sales","Temperature"
"1-01",266.0,-15
"1-02",145.9,-20
"1-03",183.1,-5
"1-04",119.3,2
"1-05",180.3,15
"1-06",168.5,22
"1-07",231.8,26
"1-08",224.5,29
"1-09",192.8,20
"1-10",122.9,15
"1-11",336.5,4
"1-12",185.9,-1
"2-01",194.3,-11
"2-02",149.5,-19
"2-03",210.1,-6
"2-04",273.3,0
"2-05",191.4,11
"2-06",287.0,15
"2-07",226.0,24
"2-08",303.6,25
"2-09",289.9,20
"2-10",421.6,12
"2-11",264.5,-4
"2-12",342.3,-19
"3-01",339.7,-28
"3-02",440.4,-20
"3-03",315.9,-5
"3-04",439.3,4
"3-05",401.3,19
"3-06",437.4,29
"3-07",575.5,31
"3-08",407.6,30
"3-09",682.0,22
"3-10",475.3,14
"3-11",581.3,0
"3-12",646.9,-1